id;start_date;end_date;language
1;2021-02-22T11:20:56;2021-02-22T09:11:11;RUSSIA
2;2021-02-21T16:11:07;2021-02-22T11:15:32;RUSSIA
3;2021-02-22T07:06:26;2021-02-21T17:40:35;FRENCH
4;2021-02-21T22:23:57;2021-02-22T09:55:23;FRENCH
5;2021-02-22T07:54:15;2021-02-22T12:41:14;FRENCH
6;2021-02-22T01:46:36;2021-02-22T13:54:50;ENGLISH
7;2021-02-22T03:31:56;2021-02-21T21:22:47;ENGLISH
8;2021-02-22T02:28:09;2021-02-22T12:44:17;RUSSIA
9;2021-02-22T01:09:18;2021-02-21T21:50:41;RUSSIA
10;2021-02-22T09:21:22;2021-02-21T19:55:52;RUSSIA
